FID,id,port_id,the_geom,year,annex_i_m3,annex_i_tonnes,annex_v_m3,annex_v_tonnes,annex_iv_m3,annex_iv_tonnes,harbour_waste_m3,harbour_waste_tonnes,total_m3,total_tonnes
wasteatports.1,31,EEMUG,POINT (24.9489155000504 59.4991640000187),2016,2241,,4537,,4326,,,,11104,
wasteatports.2,32,EEPAS,POINT (24.7050315002036 59.4583239998528),2016,563,,105,,56,,,,724,
wasteatports.3,33,EEPLS,POINT (24.0788155002352 59.3317300003393),2016,2106,,958,,3305,,,,6369,
wasteatports.4,34,EESMA,POINT (22.2347109997129 58.5370155001652),2016,20,,23,,,,,,43,
wasteatports.5,26,EETLL,POINT (24.7632470003488 59.44785199987),2016,13422,,43188,,20045,,,,76655,
wasteatports.133,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2015,2083,,1382,,363792,,,,367257,
wasteatports.132,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2014,,,,,385679,,,,,
wasteatports.131,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2013,,,,,349982,,,,,
wasteatports.130,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2012,,,,,360435,,,,,
wasteatports.129,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2011,2409,,0,,343787,,,,346196,
wasteatports.128,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2010,2231,,1194,,328090,,,,331515,
wasteatports.127,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2009,2212,,640,,335246,,,,338098,
wasteatports.126,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2008,2655,,1154,,281695,,,,285504,
wasteatports.125,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2007,2771,,1350,,233957,,,,238078,
wasteatports.124,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2006,2584,,1112,,209935,,,,213631,
wasteatports.123,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2005,1599,,1288,,198588,,,,201475,
wasteatports.122,27,FIHEL,POINT (24.9235630000325 60.1556475000322),2004,1030,,514,,,,,,1544,
wasteatports.134,30,FIKEM,POINT (24.537109374598 65.6585083008175),2018,793,,1017,,0,,,,1810,
wasteatports.170,25,LVSAL,POINT (24.3479003905906 57.7539062500734),2018,,,,,0,,,,,
wasteatports.171,25,LVSAL,POINT (24.3479003905906 57.7539062500734),2017,,,,,0,,,,,
wasteatports.194,29,SESFT,POINT (21.2437133790692 64.6848754881133),2018,47,,,20,0,,,4,47,24
