site_id,site_name,ecosystem,canonical_region,source_short,latitude,longitude,carbon_stock_g_m2,year,dredging_5km_n,akvakultur_5km_n,platforms_5km_n,studies_within_5km_n,percent_habitat_in_mpa,habitat_area_km2,risk_z,cobenefit_z
site_macroalgae_site_kr_tt_y_northern_norway_18,Krøttøy,macroalgae,Barents Sea,Ribeiro et al. (2022),69.069472,16.531444,,2016.0,0,0,0,0,2.130262451602334,1109.906420035402,-0.10540925533894598,-0.3855755122878713
site_macroalgae_site_northern_norway_macroalgae_collection_area_near_bod_northern_norway_26,Northern Norway macroalgae collection area,macroalgae,Barents Sea,Biancarosa et al. (2018),67.32,14.72,,2014.0,0,0,0,0,2.130262451602334,1109.906420035402,-0.10540925533894598,-0.3855755122878713
site_macroalgae_site_porsanger_porsangerfjord_northern_norway_20,Porsanger,macroalgae,Barents Sea,Ribeiro et al. (2022),70.297278,25.2945,,2016.0,0,0,0,0,2.130262451602334,1109.906420035402,-0.10540925533894598,-0.3855755122878713
site_macroalgae_site_sommar_y_northern_norway_19,Sommarøy,macroalgae,Barents Sea,Ribeiro et al. (2022),69.639222,18.027917,,2016.0,0,0,0,0,2.130262451602334,1109.906420035402,-0.10540925533894598,-0.3855755122878713
site_macroalgae_site_b_rdholmen_hardangerfjord_7,Bårdholmen,macroalgae,Norwegian Sea,Ribeiro et al. (2022),59.896,5.202667,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_fr_ya_mid_norway_coast_17,Frøya,macroalgae,Norwegian Sea,Ribeiro et al. (2022),63.735389,8.845333,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_fuglsetfjorden_sognefjord_12,Fuglsetfjorden,macroalgae,Norwegian Sea,Ribeiro et al. (2022),61.103722,5.870111,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_gjermundshamn_hardangerfjord_6,Gjermundshamn,macroalgae,Norwegian Sea,Ribeiro et al. (2022),60.059444,5.923333,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_hafrsfjord_north_sea_southwest_norway_2,Hafrsfjord,macroalgae,Norwegian Sea,Ribeiro et al. (2022),58.960139,5.609972,,2018.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_kilstraumen_sognefjord_9,Kilstraumen,macroalgae,Norwegian Sea,Ribeiro et al. (2022),60.800111,4.940278,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_klosterfjord_hardangerfjord_3,Klosterfjord,macroalgae,Norwegian Sea,Ribeiro et al. (2022),59.781389,5.670389,,2017.0,1,0,0,0,1.5984457945127626,3080.41406328112,1.0540925533894598,0.07326885191605398
site_macroalgae_site_korsfjorden_southwest_norway_coast_8,Korsfjorden,macroalgae,Norwegian Sea,Ribeiro et al. (2022),60.196833,5.240111,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_leikanger_sognefjord_13,Leikanger,macroalgae,Norwegian Sea,Ribeiro et al. (2022),61.182194,6.784806,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_l_nefjorden_sognefjord_14,Lånefjorden,macroalgae,Norwegian Sea,Ribeiro et al. (2022),61.164722,6.187528,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_nyhamnarsundet_sognefjord_10,Nyhamnarsundet,macroalgae,Norwegian Sea,Ribeiro et al. (2022),61.005306,5.01275,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_oppedalsvika_sognefjord_11,Oppedalsvika,macroalgae,Norwegian Sea,Ribeiro et al. (2022),61.059361,5.512361,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_risnesstraumen_sognefjord_15,Risnesstraumen,macroalgae,Norwegian Sea,Ribeiro et al. (2022),61.147111,5.169333,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_runde_mid_norway_coast_16,Runde,macroalgae,Norwegian Sea,Ribeiro et al. (2022),62.398028,5.66175,,2018.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_skjerring_hardangerfjord_5,Skjerring,macroalgae,Norwegian Sea,Ribeiro et al. (2022),60.230167,6.003389,,2018.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_solesnes_hardangerfjord_4,Solesnes,macroalgae,Norwegian Sea,Ribeiro et al. (2022),60.305444,6.280417,,2017.0,0,0,0,0,1.5984457945127626,3080.41406328112,-0.10540925533894598,0.07326885191605398
site_macroalgae_site_outer_oslofjord_outer_oslofjord_skagerrak_0,Outer Oslofjord,macroalgae,Skagerrak,Ribeiro et al. (2022),58.988722,10.923833,,2017.0,0,0,0,0,18.417947315627803,351.0183048149483,-0.10540925533894598,0.18500020924731228
site_macroalgae_site_s_gne_skagerrak_1,Søgne,macroalgae,Skagerrak,Ribeiro et al. (2022),58.073583,7.837028,,2016.0,1,0,0,0,18.417947315627803,351.0183048149483,1.0540925533894598,0.18500020924731228
site_seagrass_site_porsanger_north_barents_sea_5,Porsanger,seagrass,Barents Sea,Gagnon et al. 2024,70.112,25.232,112.48,2022.0,0,0,0,0,0.5934875312113161,5.858249792283201,-0.37267799624996495,-1.2679019753951695
site_seagrass_site_r_vik_west_norwegian_sea_6,Røvik,seagrass,Norwegian Sea,Gagnon et al. 2024; Rohr et al 2018,67.215,15.008,4000.0,2015.0,0,0,0,0,3.947569508835969,17.229634334452864,-0.37267799624996495,0.20298938592667662
site_seagrass_site_kapellkilen_south_east_oslofjord_2,Kapellkilen,seagrass,Oslofjord,Gagnon et al. 2024,59.666,10.587,5730.3475,2017.0,0,0,0,1,0.1048678300840871,42.045563484216096,-0.37267799624996495,-0.1547274396865683
site_seagrass_site_sandspollen_south_east_oslofjord_7,Sandspollen,seagrass,Oslofjord,Gagnon et al. 2024,59.663,10.59,3554.995,2018.0,0,0,0,1,0.1048678300840871,42.045563484216096,-0.37267799624996495,-0.1547274396865683
site_seagrass_site_hove_south_west_skagerrak_1,Hove,seagrass,Skagerrak,Gagnon et al. 2024,58.448,8.818,5991.13,2017.0,0,12,0,3,0.1048678300840871,42.045563484216096,0.29814239699997197,0.3226069308188697
site_seagrass_site_langerompa_south_west_skagerrak_3,Langerompa,seagrass,Skagerrak,Gagnon et al. 2024,58.431,8.801,4101.592500000001,2017.0,0,12,0,3,0.1048678300840871,42.045563484216096,0.29814239699997197,0.3226069308188697
site_seagrass_site_merd_south_west_skagerrak_4,Merdø,seagrass,Skagerrak,Gagnon et al. 2024,58.428,8.808,292.645,2017.0,0,12,0,3,0.1048678300840871,42.045563484216096,0.29814239699997197,0.3226069308188697
site_seagrass_site_s_mskilen_south_west_skagerrak_8,Sømskilen,seagrass,Skagerrak,Gagnon et al. 2024,58.404,8.714,7805.13,2017.0,0,12,0,1,0.1048678300840871,42.045563484216096,0.29814239699997197,-0.1547274396865683
site_seagrass_site_r_ya_south_west_skagerrak_9,Ærøya,seagrass,Skagerrak,Gagnon et al. 2024,58.417,8.763,369.755,2017.0,0,12,0,4,0.1048678300840871,42.045563484216096,0.29814239699997197,0.5612741160715887
